escala,codigoterminal,nometerminal,situacao,dataatracacao,horaatracacao,datadesatracacao,horadesatracacao,localatracacao
17000217330,brssz016,santos brasil,atracada,29/06/2017,11:46:00,01/07/2017,08:16:00,santos brasil
17000232720,brssz031,codesp,atracada,30/06/2017,09:15:00,01/07/2017,08:23:00,cais do saboo pos 1
17000223306,brssz031,codesp,atracada,26/06/2017,12:54:00,01/07/2017,10:17:00,berco 39 adm terminal
17000232755,brssz031,codesp,atracada,29/06/2017,03:14:00,01/07/2017,11:12:00,tev
17000216288,brssz058,brasil terminal portuario - btp,atracada,30/06/2017,16:10:00,01/07/2017,17:41:00,btp 3
17000218205,brssz016,santos brasil,atracada,25/06/2017,03:33:00,01/07/2017,23:13:00,tecon
17000225040,brssz007,cutrale,atracada,29/06/2017,15:03:00,02/07/2017,09:24:00,terminal cutrale - porto de santos
17000221761,brssz031,codesp,atracada,29/06/2017,04:53:00,02/07/2017,10:41:00,berco 39
17000236629,brssz021,ultrafertil,atracada,30/06/2017,10:39:00,02/07/2017,11:02:00,tiplam 3
17000232178,brssz031,codesp,atracada,30/06/2017,13:43:00,02/07/2017,13:50:00,arm 15
17000218159,brssz016,santos brasil,atracada,01/07/2017,18:19:00,02/07/2017,14:00:00,santos brasil quay 3
17000172221,brssz035,grupo libra (pier 35),atracada,30/06/2017,23:45:00,02/07/2017,15:05:00,libra 35.1 - porto de santos
17000216210,brssz009,embraport empresa brasileira de terminais portuarios,atracada,28/06/2017,22:51:00,03/07/2017,03:37:00,embraport 2
17000228995,brssz031,codesp,atracada,29/06/2017,09:33:00,03/07/2017,05:05:00,
17000214064,brssz031,codesp,atracada,01/07/2017,12:58:00,03/07/2017,05:06:00,copersucar - 20/21
17000234910,brssz058,brasil terminal portuario - btp,atracada,02/07/2017,13:21:00,03/07/2017,07:00:00,tecon03
17000227921,brssz031,codesp,atracada,24/06/2017,10:19:00,03/07/2017,07:09:00,rumo 19
17000223497,brssz081,terminal de graneis do guaruja - tgg,atracada,29/06/2017,22:08:00,03/07/2017,09:13:00,tgg
17000236904,brssz031,codesp,atracada,27/06/2017,10:23:00,03/07/2017,09:17:00,arm 12-a
17000192605,brssz058,brasil terminal portuario - btp,atracada,02/07/2017,18:42:00,03/07/2017,10:55:00,btp-1
17000172230,brssz035,grupo libra (pier 35),atracada,29/06/2017,21:14:00,03/07/2017,10:57:00,t35-2
17000224540,brssz035,grupo libra (pier 35),atracada,29/06/2017,08:59:00,03/07/2017,11:27:00,libra 35.1
17000205049,brssz016,santos brasil,atracada,02/07/2017,04:26:00,03/07/2017,12:50:00,santos brasil quay 2
17000190190,brssz005,dow brasil sudeste industrial ltda,atracada,23/06/2017,11:53:00,03/07/2017,16:26:00,dow quimica
17000218698,brssz031,codesp,atracada,02/07/2017,20:11:00,03/07/2017,17:38:00,saboo.1
17000218078,brssz016,santos brasil,atracada,03/07/2017,08:09:00,04/07/2017,05:13:00,santos brasil
17000240367,brssz031,codesp,atracada,03/07/2017,05:30:00,04/07/2017,08:24:00,tev
17000236050,brssz009,embraport empresa brasileira de terminais portuarios,atracada,03/07/2017,10:33:00,04/07/2017,10:48:00,
17000216270,brssz016,santos brasil,atracada,28/06/2017,05:26:00,04/07/2017,10:52:00,
17000221117,brssz035,grupo libra (pier 35),atracada,03/07/2017,10:49:00,04/07/2017,13:33:00,35 p1
17000214650,brssz031,codesp,atracada,01/07/2017,10:01:00,04/07/2017,15:36:00,berco 38 - corredor de exportacao
17000233654,brssz031,codesp,atracada,29/06/2017,17:28:00,04/07/2017,16:27:00,out 3
17000224990,brssz031,codesp,atracada,29/06/2017,13:57:00,04/07/2017,17:12:00,saboo e arm29/30
17000223691,brssz016,santos brasil,atracada,03/07/2017,13:33:00,04/07/2017,19:38:00,tc
17000197186,brssz009,embraport empresa brasileira de terminais portuarios,atracada,04/07/2017,07:14:00,05/07/2017,04:07:00,emb-2
17000242556,brssz031,codesp,atracada,03/07/2017,15:15:00,05/07/2017,07:20:00,16/17
17000232739,brssz031,codesp,atracada,04/07/2017,09:09:00,05/07/2017,10:28:00,tev
17000234855,brssz031,codesp,operando fundeada,21/06/2017,23:05:00,05/07/2017,11:12:00,"area de transbordo 1 e 2, descrita no ade 21/2016"
17000226208,brssz021,ultrafertil,atracada,30/06/2017,10:35:00,05/07/2017,12:00:00,tiplam 2
17000234340,brssz016,santos brasil,atracada,04/07/2017,16:35:00,05/07/2017,16:39:00,tecon
17000234200,brssz016,santos brasil,atracada,03/07/2017,23:24:00,05/07/2017,20:27:00,embraport quay 1
17000227174,brssz016,santos brasil,atracada,05/07/2017,10:55:00,06/07/2017,03:01:00,tc
17000237064,brssz031,codesp,atracada,04/07/2017,06:31:00,06/07/2017,04:58:00,armazem 31 e 15
17000227093,brssz031,codesp,atracada,05/07/2017,05:06:00,06/07/2017,04:59:00,tev
17000233115,brssz081,terminal de graneis do guaruja - tgg,atracada,04/07/2017,16:20:00,06/07/2017,06:01:00,tgg
17000183304,brssz031,codesp,atracada,05/07/2017,17:12:00,06/07/2017,08:34:00,saboo pto 1 - porto de santos
17000192117,brssz058,brasil terminal portuario - btp,atracada,05/07/2017,04:31:00,06/07/2017,10:03:00,btp01
17000237595,brssz031,codesp,atracada,05/07/2017,17:24:00,06/07/2017,10:05:00,copersucar - armazem 20/21
17000244583,brssz031,codesp,atracada,03/07/2017,23:32:00,06/07/2017,10:11:00,tiplam 3
17000192630,brssz058,brasil terminal portuario - btp,atracada,04/07/2017,23:06:00,06/07/2017,16:16:00,btp 2 - porto de santos
17000218337,brssz009,embraport empresa brasileira de terminais portuarios,atracada,05/07/2017,23:29:00,06/07/2017,18:07:00,embraport 1
17000205510,brssz031,codesp,atracada,06/07/2017,06:54:00,06/07/2017,20:22:00,tev
17000240812,brssz031,codesp,atracada,03/07/2017,16:59:00,06/07/2017,23:33:00,alamoa pier 3
17000236530,brssz031,codesp,atracada,04/07/2017,07:32:00,07/07/2017,03:26:00,adm
17000233840,brssz031,codesp,atracada,04/07/2017,08:05:00,07/07/2017,03:26:00,rumo 19
17000226852,brssz031,codesp,atracada,28/06/2017,13:12:00,07/07/2017,17:18:00,arm 29
17000240030,brssz016,santos brasil,atracada,05/07/2017,18:29:00,08/07/2017,04:49:00,tecon 03
17000234154,brssz016,santos brasil,atracada,07/07/2017,04:40:00,08/07/2017,06:42:00,tc
17000231449,brssz021,ultrafertil,atracada,06/07/2017,09:17:00,08/07/2017,07:02:00,tiplam 3
17000234960,brssz016,santos brasil,atracada,07/07/2017,08:01:00,08/07/2017,07:55:00,tecon2
17000243234,brssz035,grupo libra (pier 35),atracada,06/07/2017,17:39:00,08/07/2017,09:25:00,35 p.2
17000221389,brssz035,grupo libra (pier 35),atracada,06/07/2017,17:24:00,08/07/2017,13:20:00,libra 35.1 - porto de santos
17000236165,brssz031,codesp,atracada,03/07/2017,17:40:00,08/07/2017,20:12:00,teg
17000218248,brssz058,brasil terminal portuario - btp,atracada,08/07/2017,06:45:00,08/07/2017,23:23:00,btp
17000237510,brssz016,santos brasil,atracada,08/07/2017,10:07:00,09/07/2017,04:35:00,
17000192621,brssz058,brasil terminal portuario - btp,atracada,08/07/2017,17:38:00,09/07/2017,11:21:00,btp 03
17000230493,brssz009,embraport empresa brasileira de terminais portuarios,atracada,08/07/2017,21:05:00,09/07/2017,20:17:00,
17000226739,brssz031,codesp,atracada,08/07/2017,13:59:00,09/07/2017,21:18:00,companhia auxiliar de armazens gerais
17000217403,brssz016,santos brasil,atracada,09/07/2017,05:57:00,10/07/2017,07:03:00,tc
17000242459,brssz081,terminal de graneis do guaruja - tgg,atracada,06/07/2017,06:05:00,10/07/2017,09:02:00,tgg
17000234260,brssz016,santos brasil,atracada,09/07/2017,10:35:00,10/07/2017,09:55:00,tecon
17000245830,brssz007,cutrale,atracada,02/07/2017,14:02:00,10/07/2017,10:43:00,cutrale
17000242424,brssz031,codesp,atracada,07/07/2017,20:03:00,10/07/2017,11:58:00,copersucar 20-21
17000214749,brssz035,grupo libra (pier 35),atracada,09/07/2017,03:35:00,10/07/2017,12:57:00,35.2
17000250311,brssz031,codesp,atracada,08/07/2017,10:05:00,10/07/2017,15:25:00,teg
17000248775,brssz021,ultrafertil,atracada,07/07/2017,10:39:00,10/07/2017,16:47:00,tiplam
17000187547,brssz005,dow brasil sudeste industrial ltda,atracada,28/06/2017,22:33:00,10/07/2017,21:17:00,dow quimica
17000250095,brssz031,codesp,atracada,09/07/2017,20:38:00,10/07/2017,22:04:00,az. 20/21
17000234030,brssz058,brasil terminal portuario - btp,atracada,09/07/2017,05:58:00,10/07/2017,23:20:00,btp
17000244605,brssz031,codesp,atracada,09/07/2017,22:25:00,11/07/2017,00:09:00,rumo logistica - armazem 16/17
17000216261,brssz009,embraport empresa brasileira de terminais portuarios,atracada,08/07/2017,19:45:00,11/07/2017,08:22:00,berco 01
17000245628,brssz016,santos brasil,atracada,10/07/2017,11:52:00,11/07/2017,12:15:00,santos brasil
17000249518,brssz021,ultrafertil,atracada,08/07/2017,20:32:00,11/07/2017,18:25:00,tiplam
17000217977,brssz009,embraport empresa brasileira de terminais portuarios,atracada,10/07/2017,23:19:00,11/07/2017,23:45:00,embraport
17000206428,brssz009,embraport empresa brasileira de terminais portuarios,atracada,11/07/2017,07:35:00,12/07/2017,00:15:00,embraport 2 - porto de santos
17000194209,brssz058,brasil terminal portuario - btp,atracada,11/07/2017,08:23:00,12/07/2017,04:15:00,btp-3
17000244729,brssz081,terminal de graneis do guaruja - tgg,atracada,09/07/2017,20:16:00,12/07/2017,12:12:00,tgg
17000232151,brssz031,codesp,atracada,08/07/2017,20:01:00,12/07/2017,16:29:00,38
17000212649,brssz058,brasil terminal portuario - btp,atracada,11/07/2017,09:03:00,12/07/2017,20:33:00,btp / p2
17000249550,brssz016,santos brasil,atracada,11/07/2017,19:20:00,12/07/2017,22:02:00,tecon03
17000221079,brssz035,grupo libra (pier 35),atracada,11/07/2017,06:22:00,12/07/2017,22:48:00,libra 35.1 - porto de santos
17000243986,brssz016,santos brasil,atracada,12/07/2017,06:36:00,13/07/2017,05:53:00,santos brasil
17000251024,brssz031,codesp,atracada,11/07/2017,15:14:00,13/07/2017,08:16:00,arm 15
17000188098,brssz035,grupo libra (pier 35),atracada,12/07/2017,00:16:00,13/07/2017,08:35:00,libra 35.2
17000245679,brssz009,embraport empresa brasileira de terminais portuarios,atracada,12/07/2017,07:34:00,13/07/2017,08:48:00,
17000194144,brssz058,brasil terminal portuario - btp,atracada,12/07/2017,04:14:00,13/07/2017,10:26:00,btp-3
17000239504,brssz031,codesp,atracada,09/07/2017,08:12:00,13/07/2017,12:13:00,
17000226836,brssz031,codesp,atracada,04/07/2017,20:23:00,13/07/2017,16:03:00,armazem 29
17000240340,brssz031,codesp,atracada,13/07/2017,04:14:00,13/07/2017,18:25:00,saboo 1 - porto de santos
17000255151,brssz031,codesp,atracada,13/07/2017,09:14:00,13/07/2017,22:07:00,tev
17000111761,brssz016,santos brasil,atracada,07/05/2017,17:22:00,14/07/2017,03:02:00,libra - 35.2
17000243978,brssz016,santos brasil,atracada,13/07/2017,08:19:00,14/07/2017,04:40:00,tc02
17000238249,brssz031,codesp,atracada,11/07/2017,20:47:00,14/07/2017,04:44:00,saboo p.2
17000237560,brssz058,brasil terminal portuario - btp,atracada,13/07/2017,11:47:00,14/07/2017,06:36:00,
17000241673,brssz031,codesp,atracada,08/07/2017,06:17:00,14/07/2017,07:08:00,
17000232992,brssz057,ecoporto santos s/a,atracada,14/07/2017,07:09:00,14/07/2017,14:47:00,saboo corte
17000253469,brssz031,codesp,atracada,11/07/2017,05:32:00,14/07/2017,16:48:00,teag - terminal de exportacao de acucar do guaruja
17000259033,brssz031,codesp,atracada,12/07/2017,23:10:00,14/07/2017,17:39:00,rumo logistica - armazem 16/17
17000229932,brssz031,codesp,atracada,10/07/2017,20:19:00,14/07/2017,18:53:00,teg
17000243919,brssz016,santos brasil,atracada,13/07/2017,15:56:00,14/07/2017,19:01:00,tecon
17000251032,brssz031,codesp,atracada,10/07/2017,12:19:00,14/07/2017,23:13:00,saboo 03
17000234294,brssz016,santos brasil,atracada,14/07/2017,16:44:00,15/07/2017,09:03:00,santos brasil
17000252055,brssz031,codesp,atracada,14/07/2017,16:16:00,15/07/2017,09:51:00,tev
17000254945,brssz031,codesp,atracada,14/07/2017,13:36:00,15/07/2017,10:14:00,saboo 2 - porto de santos
17000254899,brssz031,codesp,atracada,13/07/2017,09:41:00,15/07/2017,10:38:00,berco 15
17000254465,brssz031,codesp,atracada,14/07/2017,04:00:00,15/07/2017,11:24:00,berco 16/17
17000225740,brssz035,grupo libra (pier 35),atracada,14/07/2017,04:19:00,15/07/2017,15:27:00,libra 35.2
17000228928,brssz031,codesp,atracada,11/07/2017,04:33:00,15/07/2017,16:05:00,tgg
17000225775,brssz035,grupo libra (pier 35),atracada,14/07/2017,16:53:00,15/07/2017,16:42:00,35-p1
17000256956,brssz081,terminal de graneis do guaruja - tgg,atracada,13/07/2017,08:26:00,16/07/2017,05:12:00,tgg
17000253523,brssz031,codesp,atracada,15/07/2017,23:23:00,16/07/2017,05:13:00,saboo p.2/3
17000250389,brssz021,ultrafertil,atracada,11/07/2017,21:39:00,16/07/2017,05:23:00,ultrafertil sa
17000217365,brssz016,santos brasil,atracada,15/07/2017,18:40:00,16/07/2017,21:16:00,santos brasil
17000254805,brssz031,codesp,atracada,16/07/2017,06:43:00,16/07/2017,21:29:00,cais do saboo
17000260007,brssz031,codesp,atracada,16/07/2017,12:11:00,16/07/2017,21:30:00,tev
17000227212,brssz016,santos brasil,atracada,16/07/2017,13:19:00,17/07/2017,07:54:00,santos brasil quay 2
17000236157,brssz009,embraport empresa brasileira de terminais portuarios,atracada,16/07/2017,04:21:00,17/07/2017,08:47:00,embraport 2
17000253434,brssz031,codesp,atracada,11/07/2017,05:31:00,17/07/2017,11:10:00,20/21
17000239474,brssz031,codesp,atracada,14/07/2017,23:32:00,17/07/2017,13:06:00,armazem 15 & 29/30
17000204930,brssz031,codesp,atracada,06/07/2017,03:05:00,17/07/2017,15:42:00,
17000235436,brssz021,ultrafertil,atracada,14/07/2017,03:32:00,17/07/2017,19:01:00,rumo 19
17000254627,brssz016,santos brasil,atracada,16/07/2017,23:21:00,17/07/2017,20:13:00,tecon03
17000253310,brssz009,embraport empresa brasileira de terminais portuarios,atracada,17/07/2017,08:46:00,17/07/2017,22:26:00,embraport
17000243722,brssz058,brasil terminal portuario - btp,atracada,17/07/2017,06:08:00,18/07/2017,08:42:00,brasil terminal portuario - btp
17000252845,brssz031,codesp,atracada,17/07/2017,11:22:00,18/07/2017,11:24:00,tev
17000129687,brssz031,codesp,atracada,06/06/2017,10:32:00,18/07/2017,17:04:00,armaz. 20/21
17000206584,brssz031,codesp,atracada,28/06/2017,14:50:00,18/07/2017,17:04:00,brssz031
17000194993,brssz031,codesp,atracada,09/06/2017,19:07:00,18/07/2017,17:05:00,teg - terminal
17000195051,brssz031,codesp,atracada,11/06/2017,04:34:00,18/07/2017,17:05:00,brssz031
17000200020,brssz031,codesp,atracada,15/06/2017,05:41:00,18/07/2017,17:06:00,brssz031
